Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2026-02-13 09:30:00-05:00,681.719970703125,681.75,680.8200073242188,681.75,4386894,0.0,0.0,0.0
2026-02-13 09:31:00-05:00,681.7000122070312,682.25,681.1900024414062,682.0599975585938,592017,0.0,0.0,0.0
2026-02-13 09:32:00-05:00,682.030029296875,682.510009765625,681.7100219726562,682.0750122070312,650732,0.0,0.0,0.0
2026-02-13 09:33:00-05:00,682.0800170898438,682.260009765625,681.25,681.3599853515625,570995,0.0,0.0,0.0
2026-02-13 09:34:00-05:00,681.3499755859375,682.0,681.1400146484375,681.2000122070312,461196,0.0,0.0,0.0
2026-02-13 09:35:00-05:00,681.1799926757812,681.22998046875,680.3900146484375,681.0599975585938,660247,0.0,0.0,0.0
2026-02-13 09:36:00-05:00,681.0599975585938,681.239990234375,680.5800170898438,680.9299926757812,500878,0.0,0.0,0.0
2026-02-13 09:37:00-05:00,680.8800048828125,681.0800170898438,680.010009765625,680.0399780273438,354855,0.0,0.0,0.0
2026-02-13 09:38:00-05:00,680.0599975585938,680.7050170898438,680.0,680.6699829101562,357854,0.0,0.0,0.0
2026-02-13 09:39:00-05:00,680.6599731445312,680.739990234375,679.780029296875,679.8400268554688,389407,0.0,0.0,0.0
2026-02-13 09:40:00-05:00,679.8300170898438,679.9400024414062,678.72998046875,678.75,556125,0.0,0.0,0.0
2026-02-13 09:41:00-05:00,678.760009765625,679.2899780273438,678.0599975585938,678.2050170898438,497020,0.0,0.0,0.0
2026-02-13 09:42:00-05:00,678.2000122070312,678.27001953125,677.52001953125,678.219970703125,506327,0.0,0.0,0.0
2026-02-13 09:43:00-05:00,678.219970703125,679.8900146484375,678.2150268554688,679.739990234375,632555,0.0,0.0,0.0
2026-02-13 09:44:00-05:00,679.75,680.5399780273438,679.3300170898438,680.4600219726562,487175,0.0,0.0,0.0
2026-02-13 09:45:00-05:00,680.4650268554688,682.0900268554688,680.4099731445312,682.0599975585938,696446,0.0,0.0,0.0
2026-02-13 09:46:00-05:00,682.0599975585938,682.4500122070312,681.5700073242188,682.2100219726562,697472,0.0,0.0,0.0
2026-02-13 09:47:00-05:00,682.1799926757812,682.4000244140625,681.52001953125,682.260009765625,448564,0.0,0.0,0.0
2026-02-13 09:48:00-05:00,682.27001953125,683.3200073242188,682.2000122070312,682.2100219726562,406475,0.0,0.0,0.0
2026-02-13 09:49:00-05:00,682.25,682.4000244140625,681.3400268554688,681.4000244140625,410811,0.0,0.0,0.0
2026-02-13 09:50:00-05:00,681.4199829101562,681.4749755859375,679.8699951171875,680.3400268554688,666603,0.0,0.0,0.0
2026-02-13 09:51:00-05:00,680.3499755859375,680.9099731445312,679.9500122070312,680.8289794921875,386978,0.0,0.0,0.0
2026-02-13 09:52:00-05:00,680.8300170898438,680.9299926757812,679.72998046875,680.3699951171875,384093,0.0,0.0,0.0
2026-02-13 09:53:00-05:00,680.4199829101562,681.5399780273438,680.4000244140625,680.6610717773438,333626,0.0,0.0,0.0
2026-02-13 09:54:00-05:00,680.6699829101562,681.4199829101562,680.4749755859375,680.4949951171875,252530,0.0,0.0,0.0
2026-02-13 09:55:00-05:00,680.469970703125,682.02001953125,680.469970703125,681.7999877929688,239450,0.0,0.0,0.0
2026-02-13 09:56:00-05:00,681.8400268554688,682.0399780273438,679.8400268554688,679.8499755859375,388406,0.0,0.0,0.0
2026-02-13 09:57:00-05:00,679.85498046875,680.2999877929688,679.6199951171875,679.6599731445312,216039,0.0,0.0,0.0
2026-02-13 09:58:00-05:00,679.6599731445312,680.3200073242188,679.6599731445312,679.9600830078125,145767,0.0,0.0,0.0
2026-02-13 09:59:00-05:00,679.989990234375,680.0999755859375,679.5599975585938,679.9299926757812,203890,0.0,0.0,0.0
2026-02-13 10:00:00-05:00,679.9099731445312,681.030029296875,679.7767944335938,680.9561767578125,413588,0.0,0.0,0.0
2026-02-13 10:01:00-05:00,680.9600219726562,681.2999877929688,680.3099975585938,680.9099731445312,170612,0.0,0.0,0.0
2026-02-13 10:02:00-05:00,680.8699951171875,681.4600219726562,680.8200073242188,681.3099975585938,153376,0.0,0.0,0.0
2026-02-13 10:03:00-05:00,681.2999877929688,681.6400146484375,680.4299926757812,680.510009765625,204101,0.0,0.0,0.0
2026-02-13 10:04:00-05:00,680.5050048828125,681.239990234375,680.4299926757812,680.9450073242188,164869,0.0,0.0,0.0
2026-02-13 10:05:00-05:00,680.97998046875,681.0,680.030029296875,680.27001953125,185446,0.0,0.0,0.0
2026-02-13 10:06:00-05:00,680.2000122070312,681.3300170898438,680.1300048828125,681.27001953125,181591,0.0,0.0,0.0
2026-02-13 10:07:00-05:00,681.3200073242188,681.3699951171875,680.4500122070312,681.0598754882812,155086,0.0,0.0,0.0
2026-02-13 10:08:00-05:00,681.0499877929688,682.1400146484375,680.9299926757812,682.0900268554688,286226,0.0,0.0,0.0
2026-02-13 10:09:00-05:00,682.0399780273438,682.469970703125,681.6300048828125,682.4149780273438,497878,0.0,0.0,0.0
2026-02-13 10:10:00-05:00,682.4500122070312,682.6199951171875,681.8099975585938,682.6099853515625,298983,0.0,0.0,0.0
2026-02-13 10:11:00-05:00,682.5900268554688,682.9000244140625,682.469970703125,682.760009765625,271448,0.0,0.0,0.0
2026-02-13 10:12:00-05:00,682.760009765625,682.8599853515625,682.0399780273438,682.1400146484375,399730,0.0,0.0,0.0
2026-02-13 10:13:00-05:00,682.1599731445312,682.6699829101562,682.1400146484375,682.3499755859375,169384,0.0,0.0,0.0
2026-02-13 10:14:00-05:00,682.3599853515625,682.5700073242188,681.25,681.2999877929688,288559,0.0,0.0,0.0
2026-02-13 10:15:00-05:00,681.3699951171875,682.1599731445312,681.1799926757812,681.9000244140625,271404,0.0,0.0,0.0
2026-02-13 10:16:00-05:00,681.8900146484375,682.280029296875,680.530029296875,680.5499877929688,336208,0.0,0.0,0.0
